name,num_neighbours,num_edges,country_code,min_e_distance,avg_e_distance,max_e_distance,sum_e_distance,median_e_distance,num_true_e_watercrossing,num_false_e_watercrossing,num_same_nb_country_code,num_0_nb_country_code,num_1_nb_country_code,num_2_nb_country_code,num_3_nb_country_code,num_4_nb_country_code,num_5_nb_country_code,num_6_nb_country_code,num_7_nb_country_code,num_8_nb_country_code,num_9_nb_country_code,num_10_nb_country_code,num_11_nb_country_code,num_12_nb_country_code,num_13_nb_country_code,num_14_nb_country_code,num_15_nb_country_code,num_16_nb_country_code,num_17_nb_country_code,num_18_nb_country_code,num_19_nb_country_code,num_20_nb_country_code,num_21_nb_country_code,num_22_nb_country_code,num_23_nb_country_code,num_24_nb_country_code,num_25_nb_country_code,num_26_nb_country_code,num_27_nb_country_code,num_28_nb_country_code,num_29_nb_country_code,num_30_nb_country_code,num_31_nb_country_code,num_32_nb_country_code,num_33_nb_country_code,num_34_nb_country_code,num_35_nb_country_code,num_36_nb_country_code,num_37_nb_country_code,num_38_nb_country_code,avg_country_code_num_neighbours,avg_country_code_num_edges,avg_country_code_min_e_distance,avg_country_code_avg_e_distance,avg_country_code_max_e_distance,avg_country_code_sum_e_distance,avg_country_code_median_e_distance,avg_country_code_num_true_e_watercrossing,avg_country_code_num_false_e_watercrossing,pagerank_score,betweenness_score,closeness_score,louvain_communityId,label_propagation_community,localClusteringCoefficient,embedding
Tarvisio,2,2,I,32,64.0,96,128,32,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.7112684491035379,4272.1115711163175,0.08104130254806366,518,132,0.0,"[-0.0029453784227371216, -0.009260281920433044, -0.05717051029205322, 0.3892793655395508, 1.0059738159179688, -0.5474004149436951, 0.19251711666584015, 0.22599977254867554, 0.4326140880584717, -0.9187712669372559]"
Udine,2,2,I,24,60.0,96,120,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.7018221168633058,4118.266442010495,0.08030261598760369,518,132,0.0,"[0.09003059566020966, -0.05288220942020416, -0.5909478664398193, 0.4843054413795471, 0.912987470626831, -0.30839380621910095, 0.48038411140441895, 0.06435701251029968, 0.24211125075817108, -0.7530548572540283]"
Palmanova,3,4,I,24,69.75,103,279,50,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,1.192403347681288,23058.55313803802,0.08283968030089328,747,132,0.0,"[0.18321233987808228, -0.024494946002960205, -0.9429672956466675, 0.27080821990966797, 0.8207994103431702, 0.04144900664687157, 0.5170446038246155, -0.04703117907047272, 0.14308303594589233, -0.540341317653656]"
Trieste,3,4,I,50,78.75,96,315,73,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,1.1269613389413522,22341.620214609196,0.08376913568508129,550,132,0.0,"[-0.28371262550354004, -0.053971320390701294, -0.786178469657898, -0.2875088155269623, 0.1556124985218048, 0.059264399111270905, 0.16095933318138123, -0.022688210010528564, 0.10316500067710876, -0.3329131603240967]"
Fano,3,3,I,53,72.0,105,216,58,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,1.0574077951420509,1092.5546709745308,0.06827869487716035,747,291,0.0,"[-0.26293855905532837, -0.07431910187005997, 0.34445247054100037, 0.6237132549285889, -0.2139611691236496, 0.3235917091369629, 0.21735210716724396, -0.609346866607666, 0.3960861563682556, -0.07431910187005997]"
Ancona,2,2,I,58,108.0,158,216,58,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.7016320952323678,1076.8389242565713,0.06843249961162032,747,291,0.0,"[-0.2417091280221939, -0.08412721753120422, 0.5155091881752014, 0.33476608991622925, -0.07523250579833984, 0.07205694913864136, 0.12499745190143585, -0.5191910266876221, 0.3518528640270233, -0.10327921062707901]"
Pescara,4,4,I,158,230.75,320,923,209,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,1.2050709570152294,21914.32141270983,0.0729183909948684,747,291,0.0,"[-0.08466900140047073, 0.009790956974029541, 0.7188857793807983, 0.12862661480903625, -0.19376839697360992, -0.22995418310165405, -0.1568518429994583, -0.4659518003463745, 0.2202616035938263, -0.13416576385498047]"
Canosa di Puglia,3,3,I,74,148.33333333333334,236,445,135,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.9661670282707457,6292.70212854476,0.06924467499803505,747,291,0.0,"[-0.007188960909843445, -0.5185537338256836, 0.5879179239273071, 0.372298002243042, -0.2975929379463196, -0.15607500076293945, -0.5008643269538879, -0.12557557225227356, 0.20163151621818542, -0.10247263312339783]"
Benevento,2,2,I,28,81.5,135,163,28,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.7080872946157725,1353.2803054537237,0.06575608299746231,747,291,0.0,"[0.03223754093050957, -0.7970322370529175, 0.6864398717880249, 0.11256209015846252, -0.5544487833976746, 0.08735311031341553, -0.62067049741745, 0.20321349799633026, 0.14305609464645386, -0.05240467190742493]"
Bari,3,3,I,74,95.66666666666667,119,287,94,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.9361532054774464,4240.425030548245,0.06669694904989022,832,291,0.3333333333333333,"[0.19711431860923767, -0.717983603477478, 0.39518678188323975, 0.9503298997879028, -0.08816704154014587, -0.30701932311058044, -0.5629081726074219, 0.07190002501010895, -0.08356954157352448, -0.0773971676826477]"
Taranto,3,3,I,48,70.66666666666667,94,212,70,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.9579162634015669,14661.830377524822,0.06523509811181044,832,291,0.3333333333333333,"[0.306530624628067, -0.5893091559410095, 0.4111039340496063, 0.9821566343307495, -0.25250375270843506, -0.44804811477661133, -0.5626846551895142, 0.11883029341697693, -0.31226104497909546, -0.006435275077819824]"
Brindisi,3,4,I,70,173.25,252,693,119,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,1.16315448683274,16953.053878133604,0.06655083849524097,832,291,0.3333333333333333,"[0.4383452534675598, -0.6355195641517639, 0.2476150393486023, 1.0747328996658325, -0.06870916485786438, -0.24283334612846375, -0.35272902250289917, 0.17339202761650085, -0.5024114847183228, -0.2963842749595642]"
Susa,2,2,I,59,108.0,157,216,59,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.6525088672350127,28388.235888148625,0.07842962699189887,607,39,0.0,"[-0.452796071767807, -0.11237956583499908, 0.05678991973400116, 0.14910046756267548, 0.1578649878501892, 0.34405654668807983, 0.0014593735104426742, -0.9810009002685547, 0.5199509859085083, -0.7042603492736816]"
Savona,3,3,I,48,97.66666666666667,134,293,111,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7402597402597406,2.7922077922077913,54.14285714285715,93.728354978355,139.87012987012983,272.58441558441564,72.06493506493507,0.1038961038961039,2.6883116883116887,0.953978758514243,5985.710232060833,0.07418322667564836,747,214,0.0,"[-0.5327320098876953, 0.10453399270772934, 0.35610151290893555, -0.40924984216690063, 1.0052200555801392, 0.36731377243995667, -0.1784961223602295, -0.4932786226272583, -0.07611747086048126, -1.0838725566864014]"
